Filename,Subject,Gender,Vowel,Word,Source,F0,F1_10,F1_20,F1_30,F1_40,F1_50,F1_60,F1_70,F1_80,F1_90,F2_10,F2_20,F2_30,F2_40,F2_50,F2_60,F2_70,F2_80,F2_90,F3_10,F3_20,F3_30,F3_40,F3_50,F3_60,F3_70,F3_80,F3_90,F4,Duration
i_subj9_m_quita_357,subj9,m,i,quita,0pos_formant_outliers_6500.csv,122.95431014900000,340.55928273420100,341.4065545592310,339.8751825857130,334.89136487525800,334.39841784667600,342.6362070252900,343.37765562318500,318.4306774473110,295.2800011639050,1755.4288463202300,1723.958475150320,1695.8421995642100,1719.8915390829500,1786.4709981602900,1922.3986728737300,1754.2019643372100,1672.8829944049000,1656.6580400213700,2384.0947551175600,2395.948801829360,2421.228177351980,2439.2452423521800,2432.5489147550800,2402.729355610720,2415.03998702336,2438.1292783662700,2428.292050947900,3230.0942687226500,0.0839938206885562
i_subj56_m_quite_181,subj56,m,i,quite,0pos_formant_outliers_6500.csv,99.82095226194480,295.43785573820200,2181.155949513870,2181.155949513870,2181.155949513870,2934.834794114390,2934.834794114390,2934.834794114390,2934.834794114390,3671.403672617210,286.69899666956200,2174.253759269080,2174.253759269080,2174.253759269080,2907.2034761026600,2907.2034761026600,2907.2034761026600,2907.2034761026600,3664.6969804896000,275.3119126996620,2163.423677181060,2163.423677181060,2163.423677181060,2868.2096167222900,2868.2096167222900,2868.2096167222900,2868.2096167222900,3652.0552005965800,2844.6234742220700,0.0578439389813297
i_subj9_m_quita_357,subj9,m,i,quita,0neg_formant_outliers_5500.csv,122.95431014900000,3113.337348007590,3153.345710252540,3265.541474800790,3295.338888461260,3251.5571948437400,3168.6322424144,3187.8476308345100,3122.694543090170,3075.6637252685900,3669.430176493600,3664.4231469969900,3717.7235211077100,3722.407595099130,3569.366114753630,3605.57513843321,3641.6067348622300,3772.690211821090,3820.300327255650,4951.563395809500,5000.435521402470,5079.177930071220,4916.754878202510,4729.278020405410,4770.595899025900,4795.027721625970,4831.462060493130,4807.476576924100,6124.9440972616200,0.0839938206885562
i_subj56_m_quite_181,subj56,m,i,quite,0neg_formant_outliers_5500.csv,99.82095226194480,284.6240836716940,278.78473875721000,278.78473875721000,278.78473875721000,270.5761053207870,270.5761053207870,270.5761053207870,270.5761053207870,264.20054020292500,2373.636091693430,2369.4976662493700,2369.4976662493700,2369.4976662493700,2391.2930287203200,2391.2930287203200,2391.2930287203200,2391.2930287203200,2417.260263048340,3557.6577875644200,3558.456797228630,3558.456797228630,3558.456797228630,3518.245615943090,3518.245615943090,3518.245615943090,3518.245615943090,3379.721151887150,3789.095914882930,0.0578439389813297
i_subj9_m_quita_357,subj9,m,i,quita,0neg_formant_outliers_3000.csv,122.95431014900000,341.0167401113140,341.94788455184500,341.84729954188300,342.1099017831000,345.2342694480470,350.0840760313550,352.2946772512350,337.0504403452290,307.083862624505,1652.317514564190,1635.558472232820,1615.079226115500,1569.336618835350,1556.8540768361500,1624.0133549237800,1613.0763403198300,1622.0316873184300,1630.8363390908100,2374.954294071450,2381.9423717523300,2400.892201745270,2410.1668072218600,2404.243066318480,2391.10431764371,2395.8816139995700,2401.714913033410,2403.822934823380,3061.180079988890,0.0839938206885562
i_subj56_m_quite_181,subj56,m,i,quite,0neg_formant_outliers_3000.csv,99.82095226194480,89.08876887306610,302.7429209887420,302.7429209887420,302.7429209887420,2159.523739190240,2159.523739190240,2159.523739190240,2159.523739190240,2592.25573528171,298.4399361778800,1681.3735300751600,1681.3735300751600,1681.3735300751600,2160.572760355950,2160.572760355950,2160.572760355950,2160.572760355950,2905.5511024836800,292.1938674719380,1621.8400857955700,1621.8400857955700,1621.8400857955700,2153.7584403414500,2153.7584403414500,2153.7584403414500,2153.7584403414500,2849.5291005610300,2140.056999762670,0.0578439389813297
i_subj9_m_quita_357,subj9,m,i,quita,0pos_formant_outliers_4500.csv,122.95431014900000,340.55928273420100,341.4065545592310,339.8751825857130,334.89136487525800,334.39841784667600,342.6362070252900,343.37765562318500,318.4306774473110,295.2800011639050,1755.4288463202300,1723.958475150320,1695.8421995642100,1719.8915390829500,1786.4709981602900,1922.3986728737300,1754.2019643372100,1672.8829944049000,1656.6580400213700,2384.0947551175600,2395.948801829360,2421.228177351980,2439.2452423521800,2432.5489147550800,2402.729355610720,2415.03998702336,2438.1292783662700,2428.292050947900,3230.0942687226500,0.0839938206885562
i_subj56_m_quite_181,subj56,m,i,quite,0pos_formant_outliers_4500.csv,99.82095226194480,273.61642692655700,268.41841984648500,268.41841984648500,268.41841984648500,264.5990848771680,264.5990848771680,264.5990848771680,264.5990848771680,260.3114184323340,420.1414258654090,422.0388550151060,422.0388550151060,422.0388550151060,418.85753530939900,418.85753530939900,418.85753530939900,418.85753530939900,431.4378912424700,1742.981463560730,1738.403734934830,1738.403734934830,1738.403734934830,1762.5457282141200,1762.5457282141200,1762.5457282141200,1762.5457282141200,1805.8782175508200,,0.0578439389813297
i_subj9_m_quita_357,subj9,m,i,quita,0neg_formant_outliers_3500.csv,122.95431014900000,340.97719189240200,341.9314907642830,341.5748949808040,339.9250445278020,341.19517734485600,346.95274556794200,349.12334547268300,329.7093977751790,300.7156338309720,1693.8307257290400,1676.7276095621900,1649.842003048780,1632.5950622545900,1654.325123793630,1751.8609755588900,1676.0311566837000,1647.7475445488100,1645.8033586883100,2378.282762264380,2388.6140849160400,2409.007862521810,2424.079254275290,2421.313775744150,2400.86441353939,2405.9205755587700,2419.5311031483000,2417.525181356310,3134.5538125971800,0.0839938206885562
i_subj56_m_quite_181,subj56,m,i,quite,0neg_formant_outliers_3500.csv,99.82095226194480,282.8357687275600,2207.381809444280,2207.381809444280,2207.381809444280,3008.0833471443200,3008.0833471443200,3008.0833471443200,3008.0833471443200,3703.8340564303700,276.6764033371820,2195.2141395523300,2195.2141395523300,2195.2141395523300,2962.179987313410,2962.179987313410,2962.179987313410,2962.179987313410,3694.476403363510,268.546190554341,2173.222424678690,2173.222424678690,2173.222424678690,2894.524737251530,2894.524737251530,2894.524737251530,2894.524737251530,3682.825168877090,2851.92221566142,0.0578439389813297
i_subj9_m_quita_357,subj9,m,i,quita,0pos_formant_outliers_4000.csv,122.95431014900000,341.2609917757200,342.1279002340980,340.0263536633140,338.2991189537340,339.2898841882240,346.3023196338110,347.4704810903030,334.05383838931600,311.12111018041600,1710.2601267830600,1688.3351675699000,1665.6202212179900,1665.3206780876400,1749.1611989280300,1815.5916949190000,1747.224278177720,1665.3009550490400,1657.1593947317200,2385.9439651687300,2397.287366438200,2419.5149773592800,2429.12743391391,2421.283533400020,2402.1581443972400,2405.827960111250,2428.3638248061700,2427.902463724490,3169.6816167160300,0.0839938206885562
i_subj56_m_quite_181,subj56,m,i,quite,0pos_formant_outliers_4000.csv,99.82095226194480,273.61642692655700,268.41841984648500,268.41841984648500,268.41841984648500,264.5990848771680,264.5990848771680,264.5990848771680,264.5990848771680,260.3114184323340,420.1414258654090,422.0388550151060,422.0388550151060,422.0388550151060,418.85753530939900,418.85753530939900,418.85753530939900,418.85753530939900,431.4378912424700,1742.981463560730,1738.403734934830,1738.403734934830,1738.403734934830,1762.5457282141200,1762.5457282141200,1762.5457282141200,1762.5457282141200,1805.8782175508200,,0.0578439389813297
i_subj9_m_quita_357,subj9,m,i,quita,0pos_formant_outliers_6000.csv,122.95431014900000,340.9419222397410,342.0071484453460,341.8595107262720,341.26090732853300,343.37936038961600,348.60785905809500,350.82327237055300,334.2719500432670,304.87490034975400,1693.0436574420500,1664.5989096630800,1633.3024027676500,1601.7960486486000,1610.1881743799300,1694.5376355983900,1644.0202561138000,1634.2685992587300,1635.447159407470,2379.2447489437800,2387.758166440050,2404.603818212080,2417.0974140317200,2413.8470551574500,2396.887775003760,2401.4381347017100,2408.803862773780,2404.4641938336100,3097.741216994430,0.0839938206885562
i_subj56_m_quite_181,subj56,m,i,quite,0pos_formant_outliers_6000.csv,99.82095226194480,273.61642692655700,268.41841984648500,268.41841984648500,268.41841984648500,264.5990848771680,264.5990848771680,264.5990848771680,264.5990848771680,260.3114184323340,420.1414258654090,422.0388550151060,422.0388550151060,422.0388550151060,418.85753530939900,418.85753530939900,418.85753530939900,418.85753530939900,431.4378912424700,1742.981463560730,1738.403734934830,1738.403734934830,1738.403734934830,1762.5457282141200,1762.5457282141200,1762.5457282141200,1762.5457282141200,1805.8782175508200,,0.0578439389813297
i_subj9_m_quita_357,subj9,m,i,quita,0neg_formant_outliers_5000.csv,122.95431014900000,3210.916515871110,3248.397426420800,3293.831164222320,3315.06603054006,3370.6456061510400,3261.7028788853300,3249.0400839328900,3142.348175636570,3086.9748126397400,3690.860967077410,3692.500736557280,3788.0495205693600,3807.4892356274800,3542.51124493304,3588.0355937875300,3658.373222399520,3818.461110268350,3865.8394350591000,5028.215369282320,5103.581758519090,5195.896610884760,4994.12808065138,4750.908899361620,4789.464658167250,4815.947714276810,4865.908979840190,4862.204225821710,6162.039077384060,0.0839938206885562
i_subj56_m_quite_181,subj56,m,i,quite,0neg_formant_outliers_5000.csv,99.82095226194480,284.6240836716940,2373.636091693430,2373.636091693430,2373.636091693430,3557.6577875644200,3557.6577875644200,3557.6577875644200,3557.6577875644200,4055.665616130310,278.78473875721000,2369.4976662493700,2369.4976662493700,2369.4976662493700,3558.456797228630,3558.456797228630,3558.456797228630,3558.456797228630,3895.2344278580300,270.5761053207870,2391.2930287203200,2391.2930287203200,2391.2930287203200,3518.245615943090,3518.245615943090,3518.245615943090,3518.245615943090,3789.095914882930,3379.721151887150,0.0578439389813297
i_subj9_m_quita_357,subj9,m,i,quita,0neg_formant_outliers_4500.csv,122.95431014900000,3099.027111663210,3117.3189941808600,3237.5276677020300,3303.014165939340,3284.289263254120,3151.865817143870,3179.129974163970,3095.34101146924,3057.680721111250,3670.633853059580,3662.6225657449100,3687.678113556430,3665.167192985780,3567.804068224660,3597.8527352020200,3670.530717616530,3791.920869495480,3850.9309739307800,4933.821268749220,4963.348910291450,5074.407450175510,4809.558337580730,4728.940578496840,4754.908022854540,4803.973676074910,4821.008362078400,4742.463816114790,6141.770546818660,0.0839938206885562
i_subj56_m_quite_181,subj56,m,i,quite,0neg_formant_outliers_4500.csv,99.82095226194480,282.54993413910400,2230.5085722746700,2230.5085722746700,2230.5085722746700,3056.275849764290,3056.275849764290,3056.275849764290,3056.275849764290,3711.4296574366900,276.9620913565840,2236.325753752470,2236.325753752470,2236.325753752470,3044.295712248820,3044.295712248820,3044.295712248820,3044.295712248820,3712.5708770119700,269.4005004267780,2247.3011663963000,2247.3011663963000,2247.3011663963000,3003.3810230839400,3003.3810230839400,3003.3810230839400,3003.3810230839400,3718.8638415741200,2953.2946015626900,0.0578439389813297
i_subj9_m_quita_357,subj9,m,i,quita,0pos_formant_outliers_5500.csv,122.95431014900000,341.2609917757200,342.1279002340980,340.0263536633140,338.2991189537340,339.2898841882240,346.3023196338110,347.4704810903030,334.05383838931600,311.12111018041600,1710.2601267830600,1688.3351675699000,1665.6202212179900,1665.3206780876400,1749.1611989280300,1815.5916949190000,1747.224278177720,1665.3009550490400,1657.1593947317200,2385.9439651687300,2397.287366438200,2419.5149773592800,2429.12743391391,2421.283533400020,2402.1581443972400,2405.827960111250,2428.3638248061700,2427.902463724490,,0.0839938206885562
i_subj56_m_quite_181,subj56,m,i,quite,0pos_formant_outliers_5500.csv,99.82095226194480,273.61642692655700,268.41841984648500,268.41841984648500,268.41841984648500,264.5990848771680,264.5990848771680,264.5990848771680,264.5990848771680,260.3114184323340,420.1414258654090,422.0388550151060,422.0388550151060,422.0388550151060,418.85753530939900,418.85753530939900,418.85753530939900,418.85753530939900,431.4378912424700,1742.981463560730,1738.403734934830,1738.403734934830,1738.403734934830,1762.5457282141200,1762.5457282141200,1762.5457282141200,1762.5457282141200,1805.8782175508200,,0.0578439389813297
i_subj9_m_quita_357,subj9,m,i,quita,0pos_formant_outliers_5000.csv,122.95431014900000,341.2609917757200,342.1279002340980,340.0263536633140,338.2991189537340,339.2898841882240,346.3023196338110,347.4704810903030,334.05383838931600,311.12111018041600,1710.2601267830600,1688.3351675699000,1665.6202212179900,1665.3206780876400,1749.1611989280300,1815.5916949190000,1747.224278177720,1665.3009550490400,1657.1593947317200,2385.9439651687300,2397.287366438200,2419.5149773592800,2429.12743391391,2421.283533400020,2402.1581443972400,2405.827960111250,2428.3638248061700,2427.902463724490,3169.6816167160300,0.0839938206885562
i_subj56_m_quite_181,subj56,m,i,quite,0pos_formant_outliers_5000.csv,99.82095226194480,89.08876887306610,302.7429209887420,302.7429209887420,302.7429209887420,2159.523739190240,2159.523739190240,2159.523739190240,2159.523739190240,2592.25573528171,298.4399361778800,1681.3735300751600,1681.3735300751600,1681.3735300751600,2160.572760355950,2160.572760355950,2160.572760355950,2160.572760355950,2905.5511024836800,292.1938674719380,1621.8400857955700,1621.8400857955700,1621.8400857955700,2153.7584403414500,2153.7584403414500,2153.7584403414500,2153.7584403414500,2849.5291005610300,2140.056999762670,0.0578439389813297
i_subj9_m_quita_357,subj9,m,i,quita,0neg_formant_outliers_6000.csv,122.95431014900000,3166.5399333035700,3199.3435481746,3281.815150598360,3308.6044568203900,3327.1569168956800,3209.7842978574900,3215.636539802900,3132.8810593024500,3079.383156455990,3682.5884471553000,3677.540781124960,3753.3182683423600,3775.94101988234,3546.9737897205000,3605.013109300670,3655.25518780997,3795.7678242794900,3842.8496087329100,4993.891779202820,5046.962427455480,5138.716696193770,4966.892745273260,4743.0874699018300,4781.265651054920,4806.882193070300,4849.613162660560,4836.521021376550,6147.164518480500,0.0839938206885562
i_subj56_m_quite_181,subj56,m,i,quite,0neg_formant_outliers_6000.csv,99.82095226194480,284.6240836716940,278.78473875721000,278.78473875721000,278.78473875721000,270.5761053207870,270.5761053207870,270.5761053207870,270.5761053207870,264.20054020292500,2373.636091693430,2369.4976662493700,2369.4976662493700,2369.4976662493700,2391.2930287203200,2391.2930287203200,2391.2930287203200,2391.2930287203200,2417.260263048340,3557.6577875644200,3558.456797228630,3558.456797228630,3558.456797228630,3518.245615943090,3518.245615943090,3518.245615943090,3518.245615943090,3379.721151887150,3789.095914882930,0.0578439389813297
i_subj9_m_quita_357,subj9,m,i,quita,0neg_formant_outliers_4000.csv,122.95431014900000,3166.5399333035700,3199.3435481746,3281.815150598360,3308.6044568203900,3327.1569168956800,3209.7842978574900,3215.636539802900,3132.8810593024500,3079.383156455990,3682.5884471553000,3677.540781124960,3753.3182683423600,3775.94101988234,3546.9737897205000,3605.013109300670,3655.25518780997,3795.7678242794900,3842.8496087329100,4993.891779202820,5046.962427455480,5138.716696193770,4966.892745273260,4743.0874699018300,4781.265651054920,4806.882193070300,4849.613162660560,4836.521021376550,6147.164518480500,0.0839938206885562
i_subj56_m_quite_181,subj56,m,i,quite,0neg_formant_outliers_4000.csv,99.82095226194480,284.6240836716940,2373.636091693430,2373.636091693430,2373.636091693430,3557.6577875644200,3557.6577875644200,3557.6577875644200,3557.6577875644200,4055.665616130310,278.78473875721000,2369.4976662493700,2369.4976662493700,2369.4976662493700,3558.456797228630,3558.456797228630,3558.456797228630,3558.456797228630,3895.2344278580300,270.5761053207870,2391.2930287203200,2391.2930287203200,2391.2930287203200,3518.245615943090,3518.245615943090,3518.245615943090,3518.245615943090,3789.095914882930,3379.721151887150,0.0578439389813297
i_subj9_m_quita_357,subj9,m,i,quita,0pos_formant_outliers_7000.csv,122.95431014900000,341.0167401113140,341.94788455184500,341.84729954188300,342.1099017831000,345.2342694480470,350.0840760313550,352.2946772512350,337.0504403452290,307.083862624505,1652.317514564190,1635.558472232820,1615.079226115500,1569.336618835350,1556.8540768361500,1624.0133549237800,1613.0763403198300,1622.0316873184300,1630.8363390908100,2374.954294071450,2381.9423717523300,2400.892201745270,2410.1668072218600,2404.243066318480,2391.10431764371,2395.8816139995700,2401.714913033410,2403.822934823380,3061.180079988890,0.0839938206885562
i_subj56_m_quite_181,subj56,m,i,quite,0pos_formant_outliers_7000.csv,99.82095226194480,89.08876887306610,302.7429209887420,302.7429209887420,302.7429209887420,2159.523739190240,2159.523739190240,2159.523739190240,2159.523739190240,2592.25573528171,298.4399361778800,1681.3735300751600,1681.3735300751600,1681.3735300751600,2160.572760355950,2160.572760355950,2160.572760355950,2160.572760355950,2905.5511024836800,292.1938674719380,1621.8400857955700,1621.8400857955700,1621.8400857955700,2153.7584403414500,2153.7584403414500,2153.7584403414500,2153.7584403414500,2849.5291005610300,2140.056999762670,0.0578439389813297