Model,Accuracy,Vowels,dPrime
F3_50,0.9081283362349756,"['o', 'u']",0.007316506518037199
F3_50,0.9081283362349756,"['o', 'e']",0.05571688258908665
F3_50,0.9081283362349756,"['o', 'i']",0.29548412911404837
F3_50,0.9081283362349756,"['o', 'a']",0.2689864537362803
F3_50,0.9081283362349756,"['u', 'e']",0.11017765711292858
F3_50,0.9081283362349756,"['u', 'i']",0.2404403955365419
F3_50,0.9081283362349756,"['u', 'a']",0.38720486268448273
F3_50,0.9081283362349756,"['e', 'i']",0.5764716161813719
F3_50,0.9081283362349756,"['e', 'a']",0.07459729570528026
F3_50,0.9081283362349756,"['i', 'a']",1.0905490208327269
F1_50,0.9075296045924369,"['o', 'u']",0.8874982459929982
F1_50,0.9075296045924369,"['o', 'e']",0.011026612013740434
F1_50,0.9075296045924369,"['o', 'i']",1.747635308090316
F1_50,0.9075296045924369,"['o', 'a']",1.4639483444113384
F1_50,0.9075296045924369,"['u', 'e']",0.8643599243675966
F1_50,0.9075296045924369,"['u', 'i']",0.6252089476473457
F1_50,0.9075296045924369,"['u', 'a']",2.286064924083762
F1_50,0.9075296045924369,"['e', 'i']",1.7550167089285038
F1_50,0.9075296045924369,"['e', 'a']",2.0113247236301537
F1_50,0.9075296045924369,"['i', 'a']",3.1098135894566865
F0,0.9084181083384308,"['o', 'u']",0.009322060511246965
F0,0.9084181083384308,"['o', 'e']",-0.0005496419349668238
F0,0.9084181083384308,"['o', 'i']",0.008361710631731759
F0,0.9084181083384308,"['o', 'a']",0.016130797713566743
F0,0.9084181083384308,"['u', 'e']",0.013714347518031198
F0,0.9084181083384308,"['u', 'i']",-0.0008126647836726001
F0,0.9084181083384308,"['u', 'a']",0.05320658006124939
F0,0.9084181083384308,"['e', 'i']",0.01199936438546747
F0,0.9084181083384308,"['e', 'a']",0.010896274225582326
F0,0.9084181083384308,"['i', 'a']",0.050032870816960874
F4,0.9079504734120697,"['o', 'u']",0.15830124665422277
F4,0.9079504734120697,"['o', 'e']",0.0519935733785328
F4,0.9079504734120697,"['o', 'i']",0.07793978587185289
F4,0.9079504734120697,"['o', 'a']",0.012501504201863745
F4,0.9079504734120697,"['u', 'e']",0.0499793583064162
F4,0.9079504734120697,"['u', 'i']",0.03801755152812099
F4,0.9079504734120697,"['u', 'a']",0.10014529909794814
F4,0.9079504734120697,"['e', 'i']",0.0023352446199465275
F4,0.9079504734120697,"['e', 'a']",0.012432591210657155
F4,0.9079504734120697,"['i', 'a']",0.027997719370621992
F2_50,0.9082884493728792,"['o', 'u']",0.05681087021958367
F2_50,0.9082884493728792,"['o', 'e']",2.0519559844785316
F2_50,0.9082884493728792,"['o', 'i']",1.8549877658121643
F2_50,0.9082884493728792,"['o', 'a']",1.6138350638693395
F2_50,0.9082884493728792,"['u', 'e']",1.4681327698429372
F2_50,0.9082884493728792,"['u', 'i']",1.1645739410947933
F2_50,0.9082884493728792,"['u', 'a']",1.180534508570263
F2_50,0.9082884493728792,"['e', 'i']",1.1692697221013673
F2_50,0.9082884493728792,"['e', 'a']",1.5411535657443154
F2_50,0.9082884493728792,"['i', 'a']",2.813763596119558
Duration,0.9082723988477082,"['o', 'u']",0.006837168017975842
Duration,0.9082723988477082,"['o', 'e']",0.039075705399355516
Duration,0.9082723988477082,"['o', 'i']",0.0999843899487985
Duration,0.9082723988477082,"['o', 'a']",0.08005337349309899
Duration,0.9082723988477082,"['u', 'e']",0.017414504923658772
Duration,0.9082723988477082,"['u', 'i']",0.05036873800226263
Duration,0.9082723988477082,"['u', 'a']",0.13828051596705773
Duration,0.9082723988477082,"['e', 'i']",0.040904824296464776
Duration,0.9082723988477082,"['e', 'a']",0.23551528728288945
Duration,0.9082723988477082,"['i', 'a']",0.35723168256021426
"F3_50,F1_50",0.9076423765233621,"['o', 'u']",0.840791459107679
"F3_50,F1_50",0.9076423765233621,"['o', 'e']",0.01898628733385085
"F3_50,F1_50",0.9076423765233621,"['o', 'i']",1.9907006690779556
"F3_50,F1_50",0.9076423765233621,"['o', 'a']",1.7207204425226916
"F3_50,F1_50",0.9076423765233621,"['u', 'e']",1.0927109634876064
"F3_50,F1_50",0.9076423765233621,"['u', 'i']",1.0409310757752346
"F3_50,F1_50",0.9076423765233621,"['u', 'a']",2.8674681624773597
"F3_50,F1_50",0.9076423765233621,"['e', 'i']",2.301377771329597
"F3_50,F1_50",0.9076423765233621,"['e', 'a']",2.0006771905640073
"F3_50,F1_50",0.9076423765233621,"['i', 'a']",3.50509682517357
"F3_50,F0",0.9081913619942383,"['o', 'u']",0.06803180334175002
"F3_50,F0",0.9081913619942383,"['o', 'e']",0.03969718491221294
"F3_50,F0",0.9081913619942383,"['o', 'i']",0.3655350127160474
"F3_50,F0",0.9081913619942383,"['o', 'a']",0.17609152127228836
"F3_50,F0",0.9081913619942383,"['u', 'e']",0.16227864230800168
"F3_50,F0",0.9081913619942383,"['u', 'i']",0.4466978618544402
"F3_50,F0",0.9081913619942383,"['u', 'a']",0.31874350082559216
"F3_50,F0",0.9081913619942383,"['e', 'i']",0.6271367330196731
"F3_50,F0",0.9081913619942383,"['e', 'a']",0.06184838167959958
"F3_50,F0",0.9081913619942383,"['i', 'a']",0.9947012128237342
"F3_50,F4",0.9079339262094098,"['o', 'u']",0.039137989759850084
"F3_50,F4",0.9079339262094098,"['o', 'e']",0.17836067213698664
"F3_50,F4",0.9079339262094098,"['o', 'i']",0.29645522843702177
"F3_50,F4",0.9079339262094098,"['o', 'a']",0.34150313942023103
"F3_50,F4",0.9079339262094098,"['u', 'e']",0.08785664570757508
"F3_50,F4",0.9079339262094098,"['u', 'i']",0.3615610478477751
"F3_50,F4",0.9079339262094098,"['u', 'a']",0.27941454243706904
"F3_50,F4",0.9079339262094098,"['e', 'i']",0.8274476139388204
"F3_50,F4",0.9079339262094098,"['e', 'a']",0.07160168071539488
"F3_50,F4",0.9079339262094098,"['i', 'a']",1.1654278073202649
"F3_50,F2_50",0.9080143879626289,"['o', 'u']",0.04505463681189238
"F3_50,F2_50",0.9080143879626289,"['o', 'e']",2.3145356464832694
"F3_50,F2_50",0.9080143879626289,"['o', 'i']",1.927388198522427
"F3_50,F2_50",0.9080143879626289,"['o', 'a']",1.689191076625545
"F3_50,F2_50",0.9080143879626289,"['u', 'e']",1.8363914775620942
"F3_50,F2_50",0.9080143879626289,"['u', 'i']",1.3491260139098065
"F3_50,F2_50",0.9080143879626289,"['u', 'a']",1.3598026073812008
"F3_50,F2_50",0.9080143879626289,"['e', 'i']",1.1812722526022998
"F3_50,F2_50",0.9080143879626289,"['e', 'a']",1.6462693259155043
"F3_50,F2_50",0.9080143879626289,"['i', 'a']",2.703005179010519
"F3_50,Duration",0.908175938851159,"['o', 'u']",0.012738480612101595
"F3_50,Duration",0.908175938851159,"['o', 'e']",0.04660162291989341
"F3_50,Duration",0.908175938851159,"['o', 'i']",0.3782491017148587
"F3_50,Duration",0.908175938851159,"['o', 'a']",0.27123477057109163
"F3_50,Duration",0.908175938851159,"['u', 'e']",0.07046594048675714
"F3_50,Duration",0.908175938851159,"['u', 'i']",0.2602091746103282
"F3_50,Duration",0.908175938851159,"['u', 'a']",0.401914368101998
"F3_50,Duration",0.908175938851159,"['e', 'i']",0.5987413088318527
"F3_50,Duration",0.908175938851159,"['e', 'a']",0.30457499393337256
"F3_50,Duration",0.908175938851159,"['i', 'a']",1.2393814981296651
"F1_50,F0",0.9080789298952796,"['o', 'u']",0.8753425667384291
"F1_50,F0",0.9080789298952796,"['o', 'e']",0.05915404622051064
"F1_50,F0",0.9080789298952796,"['o', 'i']",1.5780711605599733
"F1_50,F0",0.9080789298952796,"['o', 'a']",1.4696079299483746
"F1_50,F0",0.9080789298952796,"['u', 'e']",1.1601349392902174
"F1_50,F0",0.9080789298952796,"['u', 'i']",0.42857698048229487
"F1_50,F0",0.9080789298952796,"['u', 'a']",2.2154864924686404
"F1_50,F0",0.9080789298952796,"['e', 'i']",1.985175092408042
"F1_50,F0",0.9080789298952796,"['e', 'a']",2.509234558786657
"F1_50,F0",0.9080789298952796,"['i', 'a']",3.1086798214874665
"F1_50,F4",0.9081915711216024,"['o', 'u']",1.0355677065361688
"F1_50,F4",0.9081915711216024,"['o', 'e']",0.0404439992357002
"F1_50,F4",0.9081915711216024,"['o', 'i']",1.8355141481415775
"F1_50,F4",0.9081915711216024,"['o', 'a']",1.465009797939914
"F1_50,F4",0.9081915711216024,"['u', 'e']",0.9749497455819864
"F1_50,F4",0.9081915711216024,"['u', 'i']",0.6847779321410674
"F1_50,F4",0.9081915711216024,"['u', 'a']",2.5032530862167404
"F1_50,F4",0.9081915711216024,"['e', 'i']",1.8088893031568656
"F1_50,F4",0.9081915711216024,"['e', 'a']",2.090212783240302
"F1_50,F4",0.9081915711216024,"['i', 'a']",3.132232125238896
"F1_50,F2_50",0.9083369669212792,"['o', 'u']",1.1850656509043345
"F1_50,F2_50",0.9083369669212792,"['o', 'e']",2.0424475926692214
"F1_50,F2_50",0.9083369669212792,"['o', 'i']",2.5474106155782854
"F1_50,F2_50",0.9083369669212792,"['o', 'a']",2.106441435285607
"F1_50,F2_50",0.9083369669212792,"['u', 'e']",1.6798500997964765
"F1_50,F2_50",0.9083369669212792,"['u', 'i']",1.592214784055082
"F1_50,F2_50",0.9083369669212792,"['u', 'a']",2.7163292387455447
"F1_50,F2_50",0.9083369669212792,"['e', 'i']",2.9803506275103606
"F1_50,F2_50",0.9083369669212792,"['e', 'a']",3.2808914674615504
"F1_50,F2_50",0.9083369669212792,"['i', 'a']",4.005016943550249
"F1_50,Duration",0.9082733399208451,"['o', 'u']",0.8094842075165316
"F1_50,Duration",0.9082733399208451,"['o', 'e']",0.04747162082820601
"F1_50,Duration",0.9082733399208451,"['o', 'i']",1.7571785443036851
"F1_50,Duration",0.9082733399208451,"['o', 'a']",1.362037716582469
"F1_50,Duration",0.9082733399208451,"['u', 'e']",0.8808155682917242
"F1_50,Duration",0.9082733399208451,"['u', 'i']",0.575054497483119
"F1_50,Duration",0.9082733399208451,"['u', 'a']",2.178545463271253
"F1_50,Duration",0.9082733399208451,"['e', 'i']",1.8781480126241166
"F1_50,Duration",0.9082733399208451,"['e', 'a']",2.0244848035588356
"F1_50,Duration",0.9082733399208451,"['i', 'a']",3.1007683247698554
"F0,F4",0.9081111616502242,"['o', 'u']",0.09007338164288566
"F0,F4",0.9081111616502242,"['o', 'e']",0.03567493096461976
"F0,F4",0.9081111616502242,"['o', 'i']",0.054218044504001514
"F0,F4",0.9081111616502242,"['o', 'a']",0.013729738781661876
"F0,F4",0.9081111616502242,"['u', 'e']",0.0660859001000396
"F0,F4",0.9081111616502242,"['u', 'i']",0.029347945487209454
"F0,F4",0.9081111616502242,"['u', 'a']",0.10273361362454952
"F0,F4",0.9081111616502242,"['e', 'i']",0.010395503222631055
"F0,F4",0.9081111616502242,"['e', 'a']",0.009472374562749037
"F0,F4",0.9081111616502242,"['i', 'a']",0.03746377606600495
"F0,F2_50",0.9084512288846714,"['o', 'u']",0.17452500609130556
"F0,F2_50",0.9084512288846714,"['o', 'e']",2.3193158274106334
"F0,F2_50",0.9084512288846714,"['o', 'i']",1.8947784264976137
"F0,F2_50",0.9084512288846714,"['o', 'a']",1.9943666629986834
"F0,F2_50",0.9084512288846714,"['u', 'e']",1.6811859351175575
"F0,F2_50",0.9084512288846714,"['u', 'i']",1.0971343888832428
"F0,F2_50",0.9084512288846714,"['u', 'a']",1.3924727254979095
"F0,F2_50",0.9084512288846714,"['e', 'i']",1.9588060209396212
"F0,F2_50",0.9084512288846714,"['e', 'a']",2.08556104215406
"F0,F2_50",0.9084512288846714,"['i', 'a']",3.259558790506928
"F0,Duration",0.9079663670917181,"['o', 'u']",0.06351222595770106
"F0,Duration",0.9079663670917181,"['o', 'e']",0.03423339772047629
"F0,Duration",0.9079663670917181,"['o', 'i']",0.14718617790840072
"F0,Duration",0.9079663670917181,"['o', 'a']",0.10293639565083804
"F0,Duration",0.9079663670917181,"['u', 'e']",0.04591931097273162
"F0,Duration",0.9079663670917181,"['u', 'i']",0.04491626699689755
"F0,Duration",0.9079663670917181,"['u', 'a']",0.2853848781872768
"F0,Duration",0.9079663670917181,"['e', 'i']",0.06169895466236172
"F0,Duration",0.9079663670917181,"['e', 'a']",0.2636416747230321
"F0,Duration",0.9079663670917181,"['i', 'a']",0.5005733305499505
"F4,F2_50",0.9081918325308069,"['o', 'u']",0.27551522699923975
"F4,F2_50",0.9081918325308069,"['o', 'e']",2.077502304321146
"F4,F2_50",0.9081918325308069,"['o', 'i']",1.9705064010942985
"F4,F2_50",0.9081918325308069,"['o', 'a']",1.6226262674326457
"F4,F2_50",0.9081918325308069,"['u', 'e']",1.3178731913825046
"F4,F2_50",0.9081918325308069,"['u', 'i']",1.2865887978143309
"F4,F2_50",0.9081918325308069,"['u', 'a']",1.0859874570497368
"F4,F2_50",0.9081918325308069,"['e', 'i']",1.8045993758663532
"F4,F2_50",0.9081918325308069,"['e', 'a']",1.7131345179749875
"F4,F2_50",0.9081918325308069,"['i', 'a']",3.2879662719437586
"F4,Duration",0.9081758604283974,"['o', 'u']",0.07393841626863781
"F4,Duration",0.9081758604283974,"['o', 'e']",0.07602610197357962
"F4,Duration",0.9081758604283974,"['o', 'i']",0.16552432649040508
"F4,Duration",0.9081758604283974,"['o', 'a']",0.07159800531998504
"F4,Duration",0.9081758604283974,"['u', 'e']",0.02009403731714874
"F4,Duration",0.9081758604283974,"['u', 'i']",0.03930718028134307
"F4,Duration",0.9081758604283974,"['u', 'a']",0.20085453856404292
"F4,Duration",0.9081758604283974,"['e', 'i']",0.03696131394216167
"F4,Duration",0.9081758604283974,"['e', 'a']",0.26369380593158326
"F4,Duration",0.9081758604283974,"['i', 'a']",0.41273261561721614
"F2_50,Duration",0.9076427686371693,"['o', 'u']",0.0508938421633891
"F2_50,Duration",0.9076427686371693,"['o', 'e']",2.204606236376431
"F2_50,Duration",0.9076427686371693,"['o', 'i']",1.8724008969460366
"F2_50,Duration",0.9076427686371693,"['o', 'a']",1.5917754092040028
"F2_50,Duration",0.9076427686371693,"['u', 'e']",1.6017780277572946
"F2_50,Duration",0.9076427686371693,"['u', 'i']",1.1948641312780093
"F2_50,Duration",0.9076427686371693,"['u', 'a']",1.2287289667994887
"F2_50,Duration",0.9076427686371693,"['e', 'i']",1.4539611155089234
"F2_50,Duration",0.9076427686371693,"['e', 'a']",1.7122509688946979
"F2_50,Duration",0.9076427686371693,"['i', 'a']",2.888130350308293
"F3_50,F1_50,F0",0.9082889460503683,"['o', 'u']",1.0442959207047342
"F3_50,F1_50,F0",0.9082889460503683,"['o', 'e']",0.08094043497499655
"F3_50,F1_50,F0",0.9082889460503683,"['o', 'i']",2.135434400268615
"F3_50,F1_50,F0",0.9082889460503683,"['o', 'a']",1.8035597937340238
"F3_50,F1_50,F0",0.9082889460503683,"['u', 'e']",1.545444868694776
"F3_50,F1_50,F0",0.9082889460503683,"['u', 'i']",1.242693053037541
"F3_50,F1_50,F0",0.9082889460503683,"['u', 'a']",3.0045150630583315
"F3_50,F1_50,F0",0.9082889460503683,"['e', 'i']",2.761473716569243
"F3_50,F1_50,F0",0.9082889460503683,"['e', 'a']",2.298606615378058
"F3_50,F1_50,F0",0.9082889460503683,"['i', 'a']",3.7407075365095834
"F3_50,F1_50,F4",0.9081917541080456,"['o', 'u']",0.9361490728440163
"F3_50,F1_50,F4",0.9081917541080456,"['o', 'e']",0.21206026177491893
"F3_50,F1_50,F4",0.9081917541080456,"['o', 'i']",2.0555895087539935
"F3_50,F1_50,F4",0.9081917541080456,"['o', 'a']",1.6981555719801884
"F3_50,F1_50,F4",0.9081917541080456,"['u', 'e']",1.1981070777872915
"F3_50,F1_50,F4",0.9081917541080456,"['u', 'i']",0.9627988862373822
"F3_50,F1_50,F4",0.9081917541080456,"['u', 'a']",2.8242566391881736
"F3_50,F1_50,F4",0.9081917541080456,"['e', 'i']",2.416024036467699
"F3_50,F1_50,F4",0.9081917541080456,"['e', 'a']",2.13339133298828
"F3_50,F1_50,F4",0.9081917541080456,"['i', 'a']",3.503331687447694
"F3_50,F1_50,F2_50",0.9084026590544307,"['o', 'u']",1.2664868475157296
"F3_50,F1_50,F2_50",0.9084026590544307,"['o', 'e']",2.4642846752582073
"F3_50,F1_50,F2_50",0.9084026590544307,"['o', 'i']",2.6027580342011998
"F3_50,F1_50,F2_50",0.9084026590544307,"['o', 'a']",2.3488378217860792
"F3_50,F1_50,F2_50",0.9084026590544307,"['u', 'e']",2.2342118700267384
"F3_50,F1_50,F2_50",0.9084026590544307,"['u', 'i']",1.97402219322311
"F3_50,F1_50,F2_50",0.9084026590544307,"['u', 'a']",2.993322065943161
"F3_50,F1_50,F2_50",0.9084026590544307,"['e', 'i']",3.1896558105308634
"F3_50,F1_50,F2_50",0.9084026590544307,"['e', 'a']",3.2266033747889287
"F3_50,F1_50,F2_50",0.9084026590544307,"['i', 'a']",4.049423277898615
"F3_50,F1_50,Duration",0.90801389128514,"['o', 'u']",0.8220765371676233
"F3_50,F1_50,Duration",0.90801389128514,"['o', 'e']",0.08303201862549256
"F3_50,F1_50,Duration",0.90801389128514,"['o', 'i']",1.9786426058730957
"F3_50,F1_50,Duration",0.90801389128514,"['o', 'a']",1.6941561437180712
"F3_50,F1_50,Duration",0.90801389128514,"['u', 'e']",1.1505886377646788
"F3_50,F1_50,Duration",0.90801389128514,"['u', 'i']",1.0528112673374472
"F3_50,F1_50,Duration",0.90801389128514,"['u', 'a']",2.820288295704999
"F3_50,F1_50,Duration",0.90801389128514,"['e', 'i']",2.413027506017817
"F3_50,F1_50,Duration",0.90801389128514,"['e', 'a']",2.069210576229908
"F3_50,F1_50,Duration",0.90801389128514,"['i', 'a']",3.4329360793121406
"F3_50,F0,F4",0.9078526279467353,"['o', 'u']",0.06397621417650327
"F3_50,F0,F4",0.9078526279467353,"['o', 'e']",0.13331219208022438
"F3_50,F0,F4",0.9078526279467353,"['o', 'i']",0.3605721189463944
"F3_50,F0,F4",0.9078526279467353,"['o', 'a']",0.2640299629258642
"F3_50,F0,F4",0.9078526279467353,"['u', 'e']",0.21615117996667194
"F3_50,F0,F4",0.9078526279467353,"['u', 'i']",0.4647215733898578
"F3_50,F0,F4",0.9078526279467353,"['u', 'a']",0.35724693583145256
"F3_50,F0,F4",0.9078526279467353,"['e', 'i']",0.8336375561322265
"F3_50,F0,F4",0.9078526279467353,"['e', 'a']",0.05760306589493162
"F3_50,F0,F4",0.9078526279467353,"['i', 'a']",1.1209772828565294
"F3_50,F0,F2_50",0.9075455244130056,"['o', 'u']",0.17982761710174336
"F3_50,F0,F2_50",0.9075455244130056,"['o', 'e']",2.5325916985953376
"F3_50,F0,F2_50",0.9075455244130056,"['o', 'i']",2.0172542735145758
"F3_50,F0,F2_50",0.9075455244130056,"['o', 'a']",1.9300285622096838
"F3_50,F0,F2_50",0.9075455244130056,"['u', 'e']",2.0385227127553027
"F3_50,F0,F2_50",0.9075455244130056,"['u', 'i']",1.3757305056429714
"F3_50,F0,F2_50",0.9075455244130056,"['u', 'a']",1.448552786957205
"F3_50,F0,F2_50",0.9075455244130056,"['e', 'i']",1.9294860009187085
"F3_50,F0,F2_50",0.9075455244130056,"['e', 'a']",2.1111976685286757
"F3_50,F0,F2_50",0.9075455244130056,"['i', 'a']",3.1662628592215003
"F3_50,F0,Duration",0.9078844153060317,"['o', 'u']",0.047334128490633495
"F3_50,F0,Duration",0.9078844153060317,"['o', 'e']",0.07631480857686895
"F3_50,F0,Duration",0.9078844153060317,"['o', 'i']",0.44023540743726486
"F3_50,F0,Duration",0.9078844153060317,"['o', 'a']",0.23600792607222582
"F3_50,F0,Duration",0.9078844153060317,"['u', 'e']",0.14425094335558097
"F3_50,F0,Duration",0.9078844153060317,"['u', 'i']",0.44228559713748383
"F3_50,F0,Duration",0.9078844153060317,"['u', 'a']",0.4257207025186876
"F3_50,F0,Duration",0.9078844153060317,"['e', 'i']",0.6406660137139232
"F3_50,F0,Duration",0.9078844153060317,"['e', 'a']",0.30959014328564105
"F3_50,F0,Duration",0.9078844153060317,"['i', 'a']",1.1990958232313882
"F3_50,F4,F2_50",0.908402946604556,"['o', 'u']",0.2735345238606146
"F3_50,F4,F2_50",0.908402946604556,"['o', 'e']",2.149796421579297
"F3_50,F4,F2_50",0.908402946604556,"['o', 'i']",1.9862318892894537
"F3_50,F4,F2_50",0.908402946604556,"['o', 'a']",1.5295438278980424
"F3_50,F4,F2_50",0.908402946604556,"['u', 'e']",1.6351790585032668
"F3_50,F4,F2_50",0.908402946604556,"['u', 'i']",1.3652506147313006
"F3_50,F4,F2_50",0.908402946604556,"['u', 'a']",1.2220339173009882
"F3_50,F4,F2_50",0.908402946604556,"['e', 'i']",1.799507507419737
"F3_50,F4,F2_50",0.908402946604556,"['e', 'a']",1.7941143056890911
"F3_50,F4,F2_50",0.908402946604556,"['i', 'a']",3.1230537010580726
"F3_50,F4,Duration",0.9084337144679537,"['o', 'u']",0.03254495234120761
"F3_50,F4,Duration",0.9084337144679537,"['o', 'e']",0.1619545580536185
"F3_50,F4,Duration",0.9084337144679537,"['o', 'i']",0.3825383517319169
"F3_50,F4,Duration",0.9084337144679537,"['o', 'a']",0.34623452863270054
"F3_50,F4,Duration",0.9084337144679537,"['u', 'e']",0.09781482295763592
"F3_50,F4,Duration",0.9084337144679537,"['u', 'i']",0.3604574123247778
"F3_50,F4,Duration",0.9084337144679537,"['u', 'a']",0.35229091109409616
"F3_50,F4,Duration",0.9084337144679537,"['e', 'i']",0.851351017567241
"F3_50,F4,Duration",0.9084337144679537,"['e', 'a']",0.3251985557915301
"F3_50,F4,Duration",0.9084337144679537,"['i', 'a']",1.3601404345231727
"F3_50,F2_50,Duration",0.9079174574295109,"['o', 'u']",0.039731081620121525
"F3_50,F2_50,Duration",0.9079174574295109,"['o', 'e']",2.4281398102177905
"F3_50,F2_50,Duration",0.9079174574295109,"['o', 'i']",1.9448149349465567
"F3_50,F2_50,Duration",0.9079174574295109,"['o', 'a']",1.7764621239090443
"F3_50,F2_50,Duration",0.9079174574295109,"['u', 'e']",1.9886989073037202
"F3_50,F2_50,Duration",0.9079174574295109,"['u', 'i']",1.3659235871559425
"F3_50,F2_50,Duration",0.9079174574295109,"['u', 'a']",1.5313882668079206
"F3_50,F2_50,Duration",0.9079174574295109,"['e', 'i']",1.4552759340016692
"F3_50,F2_50,Duration",0.9079174574295109,"['e', 'a']",1.826954442047514
"F3_50,F2_50,Duration",0.9079174574295109,"['i', 'a']",2.891797890411703
"F1_50,F0,F4",0.9080952156887347,"['o', 'u']",0.9804123308844532
"F1_50,F0,F4",0.9080952156887347,"['o', 'e']",0.10334051427545232
"F1_50,F0,F4",0.9080952156887347,"['o', 'i']",1.742822938189481
"F1_50,F0,F4",0.9080952156887347,"['o', 'a']",1.4716772791838095
"F1_50,F0,F4",0.9080952156887347,"['u', 'e']",1.2576935924357011
"F1_50,F0,F4",0.9080952156887347,"['u', 'i']",0.5816232989736545
"F1_50,F0,F4",0.9080952156887347,"['u', 'a']",2.3343360832372597
"F1_50,F0,F4",0.9080952156887347,"['e', 'i']",2.0804852729545598
"F1_50,F0,F4",0.9080952156887347,"['e', 'a']",2.419677220912556
"F1_50,F0,F4",0.9080952156887347,"['i', 'a']",3.1956884569420136
"F1_50,F0,F2_50",0.9074639647411266,"['o', 'u']",1.3795814373581856
"F1_50,F0,F2_50",0.9074639647411266,"['o', 'e']",2.396190147642711
"F1_50,F0,F2_50",0.9074639647411266,"['o', 'i']",3.4125832648933203
"F1_50,F0,F2_50",0.9074639647411266,"['o', 'a']",2.485763797980296
"F1_50,F0,F2_50",0.9074639647411266,"['u', 'e']",2.110123456374006
"F1_50,F0,F2_50",0.9074639647411266,"['u', 'i']",1.8892896939413253
"F1_50,F0,F2_50",0.9074639647411266,"['u', 'a']",2.986724249392261
"F1_50,F0,F2_50",0.9074639647411266,"['e', 'i']",3.114367839250073
"F1_50,F0,F2_50",0.9074639647411266,"['e', 'a']",3.3588470338747447
"F1_50,F0,F2_50",0.9074639647411266,"['i', 'a']",4.2624179918240745
"F1_50,F0,Duration",0.9076753140831593,"['o', 'u']",0.8176945329419276
"F1_50,F0,Duration",0.9076753140831593,"['o', 'e']",0.12241079342517981
"F1_50,F0,Duration",0.9076753140831593,"['o', 'i']",1.6375206375057907
"F1_50,F0,Duration",0.9076753140831593,"['o', 'a']",1.367337173932615
"F1_50,F0,Duration",0.9076753140831593,"['u', 'e']",1.1352060057040776
"F1_50,F0,Duration",0.9076753140831593,"['u', 'i']",0.5081744836004788
"F1_50,F0,Duration",0.9076753140831593,"['u', 'a']",2.168624763350133
