Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-vdsq,branch-kcrj,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,group,block,vowel,subject,gender,word,token_num,filename,babble
1,1666127475499,18/10/2022 21:11:15,1666127474188,-7,18/10/2022 14:11:14,92237,16,task-43kc,,24671051,,7285043,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 106.0.0.0,1804x1203,1806x1047,,Test Run,11,Block 8-A,soundCheckPassed,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,
2,1666127870679,18/10/2022 21:17:50,1666127869079,-7,18/10/2022 14:17:49,92237,16,task-43kc,,24671051,,7285043,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 106.0.0.0,1804x1203,1806x1047,,Test Run,11,Block 8-A,soundCheckPassed,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,394828.5999999996,null,,null,,0,1,0,null,null,false,,,Prompt,,,,,,,,,
3,1666127871833,18/10/2022 21:17:51,1666127869519,-7,18/10/2022 14:17:49,92237,16,task-43kc,,24671051,,7285043,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 106.0.0.0,1804x1203,1806x1047,,Test Run,11,Block 8-A,soundCheckPassed,Spreadsheet1,Spreadsheet1,3,1,1,Screen 1,fixation,fixation,450.54899999999907,null,,null,,0,1,0,null,null,false,,1,Trial,0-A,noise,i,subj21,f,pico,128,i_subj21_f_pico_128.wav,Babble_071.wav
4,1666127871833,18/10/2022 21:17:51,1666127869535,-7,18/10/2022 14:17:49,92237,16,task-43kc,,24671051,,7285043,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 106.0.0.0,1804x1203,1806x1047,,Test Run,11,Block 8-A,soundCheckPassed,Spreadsheet1,Spreadsheet1,3,1,2,Screen 2,Zone1,content_web_audio,3.200000001117587,null,,AUDIO PLAY REQUESTED,1,0,1,0,,,false,,1,Trial,0-A,noise,i,subj21,f,pico,128,i_subj21_f_pico_128.wav,Babble_071.wav
5,1666127871833,18/10/2022 21:17:51,1666127869537,-7,18/10/2022 14:17:49,92237,16,task-43kc,,24671051,,7285043,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 106.0.0.0,1804x1203,1806x1047,,Test Run,11,Block 8-A,soundCheckPassed,Spreadsheet1,Spreadsheet1,3,1,2,Screen 2,Zone2,content_web_audio,5,null,,AUDIO PLAY REQUESTED,1,0,1,0,,,false,,1,Trial,0-A,noise,i,subj21,f,pico,128,i_subj21_f_pico_128.wav,Babble_071.wav
6,1666127873193,18/10/2022 21:17:53,1666127871926,-7,18/10/2022 14:17:51,92237,16,task-43kc,,24671051,,7285043,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 106.0.0.0,1804x1203,1806x1047,,Test Run,11,Block 8-A,soundCheckPassed,Spreadsheet1,Spreadsheet1,3,1,2,Screen 2,Zone6,response_button_text,2392.9000000003725,null,,i,1,1,0,0,null,null,false,,1,Trial,0-A,noise,i,subj21,f,pico,128,i_subj21_f_pico_128.wav,Babble_071.wav
7,1666127880438,18/10/2022 21:18:00,1666127879210,-7,18/10/2022 14:17:59,92237,16,task-43kc,,24671051,,7285043,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 106.0.0.0,1804x1203,1806x1047,,Test Run,11,Block 8-A,soundCheckPassed,Spreadsheet1,Spreadsheet1,3,1,3,Correct,advancementZone,continue_button,7275.699999999255,null,,null,,0,1,0,null,null,false,,1,Trial,0-A,noise,i,subj21,f,pico,128,i_subj21_f_pico_128.wav,Babble_071.wav
8,1666127880658,18/10/2022 21:18:00,1666127879240,-7,18/10/2022 14:17:59,92237,16,task-43kc,,24671051,,7285043,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 106.0.0.0,1804x1203,1806x1047,,Test Run,11,Block 8-A,soundCheckPassed,Spreadsheet1,Spreadsheet1,3,1,6,Transition,Zone1,timelimit_screen,16.68700000003446,null,,,,0,1,0,null,null,true,,1,Trial,0-A,noise,i,subj21,f,pico,128,i_subj21_f_pico_128.wav,Babble_071.wav
9,1666127880885,18/10/2022 21:18:00,1666127879664,-7,18/10/2022 14:17:59,92237,16,task-43kc,,24671051,,7285043,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 106.0.0.0,1804x1203,1806x1047,,Test Run,11,Block 8-A,soundCheckPassed,Spreadsheet1,Spreadsheet1,9,2,1,Screen 1,fixation,fixation,450.54899999999907,null,,null,,0,1,0,null,null,false,,1,Trial,0-A,quiet,i,subj4,f,pite,268,i_subj4_f_pite_268.wav,none
10,1666127881057,18/10/2022 21:18:01,1666127879679,-7,18/10/2022 14:17:59,92237,16,task-43kc,,24671051,,7285043,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 106.0.0.0,1804x1203,1806x1047,,Test Run,11,Block 8-A,soundCheckPassed,Spreadsheet1,Spreadsheet1,9,2,2,Screen 2,Zone1,content_web_audio,3.099999999627471,null,,AUDIO PLAY REQUESTED,1,0,1,0,,,false,,1,Trial,0-A,quiet,i,subj4,f,pite,268,i_subj4_f_pite_268.wav,none
11,1666127881057,18/10/2022 21:18:01,1666127879680,-7,18/10/2022 14:17:59,92237,16,task-43kc,,24671051,,7285043,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 106.0.0.0,1804x1203,1806x1047,,Test Run,11,Block 8-A,soundCheckPassed,Spreadsheet1,Spreadsheet1,9,2,2,Screen 2,Zone2,content_web_audio,3.799999998882413,null,,AUDIO PLAY REQUESTED,1,0,1,0,,,false,,1,Trial,0-A,quiet,i,subj4,f,pite,268,i_subj4_f_pite_268.wav,none
12,1666127882593,18/10/2022 21:18:02,1666127881377,-7,18/10/2022 14:18:01,92237,16,task-43kc,,24671051,,7285043,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 106.0.0.0,1804x1203,1806x1047,,Test Run,11,Block 8-A,soundCheckPassed,Spreadsheet1,Spreadsheet1,9,2,2,Screen 2,Zone6,response_button_text,1699.7999999988824,null,,i,1,1,0,0,null,null,false,,1,Trial,0-A,quiet,i,subj4,f,pite,268,i_subj4_f_pite_268.wav,none
13,1666127884358,18/10/2022 21:18:04,1666127883143,-7,18/10/2022 14:18:03,92237,16,task-43kc,,24671051,,7285043,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 106.0.0.0,1804x1203,1806x1047,,Test Run,11,Block 8-A,soundCheckPassed,Spreadsheet1,Spreadsheet1,9,2,3,Correct,advancementZone,continue_button,1757.300000000745,null,,null,,0,1,0,null,null,false,,1,Trial,0-A,quiet,i,subj4,f,pite,268,i_subj4_f_pite_268.wav,none
14,1666127884554,18/10/2022 21:18:04,1666127883152,-7,18/10/2022 14:18:03,92237,16,task-43kc,,24671051,,7285043,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 106.0.0.0,1804x1203,1806x1047,,Test Run,11,Block 8-A,soundCheckPassed,Spreadsheet1,Spreadsheet1,9,2,6,Transition,Zone1,timelimit_screen,16.68700000003446,null,,,,0,1,0,null,null,true,,1,Trial,0-A,quiet,i,subj4,f,pite,268,i_subj4_f_pite_268.wav,none
15,1666127884884,18/10/2022 21:18:04,1666127883602,-7,18/10/2022 14:18:03,92237,16,task-43kc,,24671051,,7285043,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 106.0.0.0,1804x1203,1806x1047,,Test Run,11,Block 8-A,soundCheckPassed,Spreadsheet1,Spreadsheet1,5,3,1,Screen 1,fixation,fixation,450.54899999999907,null,,null,,0,1,0,null,null,false,,1,Trial,0-A,noise,o,subj18,f,coro,332,o_subj18_f_coro_332.wav,Babble_116.wav
16,1666127885056,18/10/2022 21:18:05,1666127883617,-7,18/10/2022 14:18:03,92237,16,task-43kc,,24671051,,7285043,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 106.0.0.0,1804x1203,1806x1047,,Test Run,11,Block 8-A,soundCheckPassed,Spreadsheet1,Spreadsheet1,5,3,2,Screen 2,Zone1,content_web_audio,1.799999998882413,null,,AUDIO PLAY REQUESTED,1,0,1,0,,,false,,1,Trial,0-A,noise,o,subj18,f,coro,332,o_subj18_f_coro_332.wav,Babble_116.wav
17,1666127885056,18/10/2022 21:18:05,1666127883618,-7,18/10/2022 14:18:03,92237,16,task-43kc,,24671051,,7285043,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 106.0.0.0,1804x1203,1806x1047,,Test Run,11,Block 8-A,soundCheckPassed,Spreadsheet1,Spreadsheet1,5,3,2,Screen 2,Zone2,content_web_audio,2.5,null,,AUDIO PLAY REQUESTED,1,0,1,0,,,false,,1,Trial,0-A,noise,o,subj18,f,coro,332,o_subj18_f_coro_332.wav,Babble_116.wav
18,1666127887835,18/10/2022 21:18:07,1666127886606,-7,18/10/2022 14:18:06,92237,16,task-43kc,,24671051,,7285043,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 106.0.0.0,1804x1203,1806x1047,,Test Run,11,Block 8-A,soundCheckPassed,Spreadsheet1,Spreadsheet1,5,3,2,Screen 2,Zone3,timelimit_screen,3003.6599999999744,null,,,,0,1,0,null,null,true,,1,Trial,0-A,noise,o,subj18,f,coro,332,o_subj18_f_coro_332.wav,Babble_116.wav
19,1666127890666,18/10/2022 21:18:10,1666127889447,-7,18/10/2022 14:18:09,92237,16,task-43kc,,24671051,,7285043,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 106.0.0.0,1804x1203,1806x1047,,Test Run,11,Block 8-A,soundCheckPassed,Spreadsheet1,Spreadsheet1,5,3,5,Timeout,advancementZone,continue_button,2833.7999999988824,null,,null,,0,1,0,null,null,false,,1,Trial,0-A,noise,o,subj18,f,coro,332,o_subj18_f_coro_332.wav,Babble_116.wav
20,1666127890849,18/10/2022 21:18:10,1666127889460,-7,18/10/2022 14:18:09,92237,16,task-43kc,,24671051,,7285043,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 106.0.0.0,1804x1203,1806x1047,,Test Run,11,Block 8-A,soundCheckPassed,Spreadsheet1,Spreadsheet1,5,3,6,Transition,Zone1,timelimit_screen,16.68699999997625,null,,,,0,1,0,null,null,true,,1,Trial,0-A,noise,o,subj18,f,coro,332,o_subj18_f_coro_332.wav,Babble_116.wav
21,1666127891122,18/10/2022 21:18:11,1666127889910,-7,18/10/2022 14:18:09,92237,16,task-43kc,,24671051,,7285043,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 106.0.0.0,1804x1203,1806x1047,,Test Run,11,Block 8-A,soundCheckPassed,Spreadsheet1,Spreadsheet1,11,4,1,Screen 1,fixation,fixation,450.54899999999907,null,,null,,0,1,0,null,null,false,,1,Trial,0-A,quiet,u,subj46,f,supo,163,u_subj46_f_supo_163.wav,none
22,1666127891353,18/10/2022 21:18:11,1666127889926,-7,18/10/2022 14:18:09,92237,16,task-43kc,,24671051,,7285043,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 106.0.0.0,1804x1203,1806x1047,,Test Run,11,Block 8-A,soundCheckPassed,Spreadsheet1,Spreadsheet1,11,4,2,Screen 2,Zone1,content_web_audio,1.799999998882413,null,,AUDIO PLAY REQUESTED,1,0,1,0,,,false,,1,Trial,0-A,quiet,u,subj46,f,supo,163,u_subj46_f_supo_163.wav,none
23,1666127891353,18/10/2022 21:18:11,1666127889927,-7,18/10/2022 14:18:09,92237,16,task-43kc,,24671051,,7285043,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 106.0.0.0,1804x1203,1806x1047,,Test Run,11,Block 8-A,soundCheckPassed,Spreadsheet1,Spreadsheet1,11,4,2,Screen 2,Zone2,content_web_audio,2.5,null,,AUDIO PLAY REQUESTED,1,0,1,0,,,false,,1,Trial,0-A,quiet,u,subj46,f,supo,163,u_subj46_f_supo_163.wav,none
24,1666127892931,18/10/2022 21:18:12,1666127891710,-7,18/10/2022 14:18:11,92237,16,task-43kc,,24671051,,7285043,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 106.0.0.0,1804x1203,1806x1047,,Test Run,11,Block 8-A,soundCheckPassed,Spreadsheet1,Spreadsheet1,11,4,2,Screen 2,Zone4,response_button_text,1784.5,null,,u,1,1,0,0,null,null,false,,1,Trial,0-A,quiet,u,subj46,f,supo,163,u_subj46_f_supo_163.wav,none
25,1666127894328,18/10/2022 21:18:14,1666127893108,-7,18/10/2022 14:18:13,92237,16,task-43kc,,24671051,,7285043,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 106.0.0.0,1804x1203,1806x1047,,Test Run,11,Block 8-A,soundCheckPassed,Spreadsheet1,Spreadsheet1,11,4,3,Correct,advancementZone,continue_button,1390,null,,null,,0,1,0,null,null,false,,1,Trial,0-A,quiet,u,subj46,f,supo,163,u_subj46_f_supo_163.wav,none
26,1666127894624,18/10/2022 21:18:14,1666127893115,-7,18/10/2022 14:18:13,92237,16,task-43kc,,24671051,,7285043,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 106.0.0.0,1804x1203,1806x1047,,Test Run,11,Block 8-A,soundCheckPassed,Spreadsheet1,Spreadsheet1,11,4,6,Transition,Zone1,timelimit_screen,16.68699999997625,null,,,,0,1,0,null,null,true,,1,Trial,0-A,quiet,u,subj46,f,supo,163,u_subj46_f_supo_163.wav,none
27,1666127894835,18/10/2022 21:18:14,1666127893564,-7,18/10/2022 14:18:13,92237,16,task-43kc,,24671051,,7285043,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 106.0.0.0,1804x1203,1806x1047,,Test Run,11,Block 8-A,soundCheckPassed,Spreadsheet1,Spreadsheet1,6,5,1,Screen 1,fixation,fixation,450.54899999999907,null,,null,,0,1,0,null,null,false,,1,Trial,0-A,noise,u,subj2,f,supo,147,u_subj2_f_supo_147.wav,Babble_000.wav
28,1666127894835,18/10/2022 21:18:14,1666127893578,-7,18/10/2022 14:18:13,92237,16,task-43kc,,24671051,,7285043,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 106.0.0.0,1804x1203,1806x1047,,Test Run,11,Block 8-A,soundCheckPassed,Spreadsheet1,Spreadsheet1,6,5,2,Screen 2,Zone1,content_web_audio,2.199999999254942,null,,AUDIO PLAY REQUESTED,1,0,1,0,,,false,,1,Trial,0-A,noise,u,subj2,f,supo,147,u_subj2_f_supo_147.wav,Babble_000.wav
29,1666127894835,18/10/2022 21:18:14,1666127893578,-7,18/10/2022 14:18:13,92237,16,task-43kc,,24671051,,7285043,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 106.0.0.0,1804x1203,1806x1047,,Test Run,11,Block 8-A,soundCheckPassed,Spreadsheet1,Spreadsheet1,6,5,2,Screen 2,Zone2,content_web_audio,3,null,,AUDIO PLAY REQUESTED,1,0,1,0,,,false,,1,Trial,0-A,noise,u,subj2,f,supo,147,u_subj2_f_supo_147.wav,Babble_000.wav
30,1666127896504,18/10/2022 21:18:16,1666127895285,-7,18/10/2022 14:18:15,92237,16,task-43kc,,24671051,,7285043,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 106.0.0.0,1804x1203,1806x1047,,Test Run,11,Block 8-A,soundCheckPassed,Spreadsheet1,Spreadsheet1,6,5,2,Screen 2,Zone4,response_button_text,1708.7999999988824,null,,u,1,1,0,0,null,null,false,,1,Trial,0-A,noise,u,subj2,f,supo,147,u_subj2_f_supo_147.wav,Babble_000.wav
